ISO3,Countries and areas,Region,Sub-region,Income Group,Total,Rural,Urban,Poorest,Richest,Time period
DJI,Djibouti,SSA,ESA,Lower middle income (LM),6%,1%,11%,1%,32%,2012
DOM,Dominican Republic,LAC,LAC,Upper middle income (UM),24%,10%,29%,0%,77%,2014
ECU,Ecuador,LAC,LAC,Upper middle income (UM),42%,20%,53%,,,2018
EGY,Egypt,MENA,MENA,Lower middle income (LM),17%,9%,29%,,,2015
GMB,Gambia,SSA,WCA,Low income (L),65%,47%,75%,25%,94%,2018
GEO,Georgia,ECA,EECA,Upper middle income (UM),85%,72%,93%,51%,99%,2018
GHA,Ghana,SSA,WCA,Lower middle income (LM),17%,10%,26%,3%,51%,2017-18
GTM,Guatemala,LAC,LAC,Upper middle income (UM),9%,3%,18%,0%,45%,2014-15
GNB,Guinea-Bissau,SSA,WCA,Low income (L),2%,2%,4%,0%,5%,2018-19
HTI,Haiti,LAC,LAC,Low income (L),21%,11%,36%,0%,65%,2016-17
IND,India,SA,SA,Lower middle income (LM),9%,5%,17%,0%,36%,2015-16
IDN,Indonesia,EAP,EAP,Lower middle income (LM),19%,10%,26%,6%,45%,2019
IRQ,Iraq,MENA,MENA,Upper middle income (UM),49%,35%,56%,14%,84%,2018
JPN,Japan,EAP,EAP,High income (H),78%,83%,77%,62%,87%,2018
JOR,Jordan,MENA,MENA,Upper middle income (UM),38%,35%,38%,23%,72%,2017-18
KEN,Kenya,SSA,ESA,Lower middle income (LM),32%,,24%,,,2013
KIR,Kiribati,EAP,EAP,Lower middle income (LM),51%,33%,69%,14%,87%,2018-19
KGZ,Kyrgyzstan,ECA,EECA,Lower middle income (LM),74%,69%,83%,54%,91%,2018
LAO,Lao People's Democratic Republic,EAP,EAP,Lower middle income (LM),2%,1%,4%,0%,5%,2017
LSO,Lesotho,SSA,ESA,Lower middle income (LM),32%,22%,52%,6%,70%,2018
MDG,Madagascar,SSA,ESA,Low income (L),11%,6%,27%,0%,47%,2018
MDV,Maldives,SA,SA,Upper middle income (UM),70%,69%,72%,50%,93%,2016-17
MLI,Mali,SSA,WCA,Low income (L),5%,3%,14%,0%,23%,2015
MRT,Mauritania,SSA,WCA,Lower middle income (LM),3%,1%,6%,0%,11%,2015
MEX,Mexico,LAC,LAC,Upper middle income (UM),41%,11%,52%,,,2018
MNG,Mongolia,EAP,EAP,Lower middle income (LM),37%,13%,49%,2%,93%,2018
MNE,Montenegro,ECA,EECA,Upper middle income (UM),82%,74%,86%,49%,99%,2018-19
MAR,Morocco,MENA,MENA,Lower middle income (LM),18%,12%,23%,,,2010
NAM,Namibia,SSA,ESA,Upper middle income (UM),7%,1%,15%,0%,34%,2013
NPL,Nepal,SA,SA,Low income (L),47%,32%,55%,16%,88%,2076
NIC,Nicaragua,LAC,LAC,Lower middle income (LM),4%,,,,,2011-12
NER,Niger,SSA,WCA,Low income (L),3%,,,,,2014-15
NGA,Nigeria,SSA,WCA,Lower middle income (LM),3%,,,,,2018-2019
PAK,Pakistan,SA,SA,Lower middle income (LM),9%,4%,19%,0%,46%,2017
PAN,Panama,LAC,LAC,High income (H),31%,10%,44%,4%,94%,2013
PER,Peru,LAC,LAC,Upper middle income (UM),26%,1%,34%,,,2019
RUS,Russian Federation,ECA,EECA,Upper middle income (UM),89%,79%,94%,89%,100%,2018
LCA,Saint Lucia,LAC,LAC,Upper middle income (UM),48%,48%,44%,12%,,2012
STP,Sao Tome and Principe,SSA,WCA,Lower middle income (LM),44%,37%,48%,20%,75%,2019
SEN,Senegal,SSA,WCA,Lower middle income (LM),5%,2%,10%,1%,21%,2017
SRB,Serbia,ECA,EECA,Upper middle income (UM),94%,91%,97%,71%,100%,2019
SLE,Sierra Leone,SSA,WCA,Low income (L),13%,4%,25%,0%,39%,2017
SOM,Somalia,SSA,ESA,Low income (L),13%,,,,,2017-18
ZAF,South Africa,SSA,ESA,Upper middle income (UM),20%,,,,,2014-15
SSD,South Sudan,SSA,ESA,Low income (L),0%,0%,1%,0%,2%,2010
LKA,Sri Lanka,SA,SA,Upper middle income (UM),70%,67%,86%,71%,99%,2012
SDN,Sudan,SSA,ESA,Lower middle income (LM),3%,1%,9%,0%,18%,2014
SUR,Suriname,LAC,LAC,Upper middle income (UM),50%,37%,57%,22%,93%,2018
TJK,Tajikistan,ECA,EECA,Low income (L),24%,20%,38%,6%,46%,2017
THA,Thailand,EAP,EAP,Upper middle income (UM),71%,67%,78%,47%,96%,2562
MKD,North Macedonia,ECA,EECA,Upper middle income (UM),92%,90%,93%,70%,100%,2018-19
TGO,Togo,SSA,WCA,Low income (L),23%,7%,49%,0%,78%,2017
TON,Tonga,EAP,EAP,Upper middle income (UM),91%,90%,94%,83%,95%,2019
TTO,Trinidad and Tobago,LAC,LAC,High income (H),44%,34%,52%,3%,96%,2011
TUN,Tunisia,MENA,MENA,Lower middle income (LM),39%,22%,47%,13%,83%,2018
TUR,Turkey,ECA,EECA,Upper middle income (UM),36%,14%,43%,2%,90%,2013
TKM,Turkmenistan,ECA,EECA,Upper middle income (UM),46%,37%,58%,32%,77%,2019
UGA,Uganda,SSA,ESA,Low income (L),0%,0%,2%,0%,2%,2015
UKR,Ukraine,ECA,EECA,Lower middle income (LM),71%,,71%,,,2013
GBR,United Kingdom,ECA,WE,High income (H),99%,,,,,2016
URY,Uruguay,LAC,LAC,High income (H),63%,47%,65%,35%,,2012-99
UZB,Uzbekistan,ECA,EECA,Lower middle income (LM),19%,16%,29%,1%,69%,2017
VNM,Viet Nam,EAP,EAP,Lower middle income (LM),62%,,62%,,,2012
ZMB,Zambia,SSA,ESA,Lower middle income (LM),6%,2%,13%,0%,28%,2018-19
ZWE,Zimbabwe,SSA,ESA,Lower middle income (LM),26%,18%,49%,4%,62%,2018-19
